序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
418,2,2,,初等,起来,qǐlái,动,90
419,2,2,,初等,前面,qiánmiàn,名,90
420,2,2,,初等,晴,qíng,形,90
421,2,2,,初等,球,qiú,名,90
422,2（4）,2,4,初等,让,ràng,动、（介）,90
423,2,2,,初等,肉,ròu,名,90
424,2,2,,初等,商场,shāngchǎng,名,90
425,2,2,,初等,上来,shànglái,动,90
426,2,2,,初等,上面,shàngmiàn,名,90
427,2,2,,初等,上去,shàngqù,动,90
428,2,2,,初等,上网,shàngwǎng,动,90
429,2,2,,初等,身体,shēntǐ,名,90
430,2,2,,初等,生日,shēngrì,名,90
431,2（6）,2,6,初等,时,shí,名、（量）,90
432,2,2,,初等,事情,shìqing,名,90
433,2,2,,初等,手,shǒu,名,90
434,2,2,,初等,手表,shǒubiǎo,名,90
435,2,2,,初等,书包,shūbāo,名,90
436,2,2,,初等,舒服,shūfu,形,90
437,2,2,,初等,送,sòng,动,90
438,2,2,,初等,虽然,suīrán,连,90
439,2,2,,初等,所以,suǒyǐ,连,90
440,2（6）,2,6,初等,疼,téng,形、（动）,90
441,2,2,,初等,踢,tī,动,91
442,2,2,,初等,题,tí,名,91
443,2（5）,2,5,初等,条,tiáo,量、（名）,91
444,2,2,,初等,跳舞,tiàowǔ,动,91
445,2（3）（5）,2,3|5,初等,头,tóu,名、（量）、（形）,91
446,2,2,,初等,外国,wàiguó,名,91
447,2,2,,初等,外面,wàimiàn,名,91
448,2,2,,初等,完,wán,动,91
449,2,2,,初等,万,wàn,数,91
450,2,2,,初等,往,wǎng,动、介,91
451,2,2,,初等,网上,wǎngshang,名,91
452,2,2,,初等,忘,wàng,动,91
453,2,2,,初等,位,wèi,量,91
454,2,2,,初等,为什么,wèi shénme,,91
455,2,2,,初等,希望,xīwàng,动,91
456,2,2,,初等,洗,xǐ,动,91
457,2,2,,初等,洗手间,xǐshǒujiān,名,91
458,2,2,,初等,下来,xiàlái,动,91
459,2,2,,初等,下面,xiàmiàn,名,91
460,2,2,,初等,下去,xiàqù,动,91
461,2,2,,初等,小孩儿,xiǎoháir,名,91
462,2,2,,初等,小时候,xiǎoshíhou,名,91
463,2,2,,初等,笑,xiào,动,91
464,2,2,,初等,姓,xìng,名、动,91
465,2,2,,初等,姓名,xìngmíng,名,91
466,2,2,,初等,颜色,yánsè,名,91
467,2,2,,初等,眼睛,yǎnjing,名,91
468,2,2,,初等,药,yào,名,91
